license_plate,expense_date,description,amount,category_name,ID_car
СК833УХ,2023-01-06,,268.0,Пробег,2
ХО448МЕ,2023-01-06,,198.0,Пробег,3
АХ570СВ,2023-01-06,,155.0,Пробег,4
ТК821ВА,2023-01-06,,141.0,Пробег,5
УН266НН,2023-01-06,,51.0,Пробег,6
СХ350ЕР,2023-01-06,,255.0,Пробег,7
АН510МВ,2023-01-06,,262.0,Пробег,8
ЕМ242КХ,2023-01-06,,87.0,Пробег,9
СР193АВ,2023-01-06,,207.0,Пробег,10
МС981АУ,2023-01-06,,123.0,Пробег,11
ЕР103ХХ,2023-01-06,,78.0,Пробег,12
УС723КЕ,2023-01-06,,202.0,Пробег,13
НР119ВН,2023-01-06,,73.0,Пробег,14
ВС884ЕЕ,2023-01-06,,100.0,Пробег,15
СХ806КХ,2023-01-06,,233.0,Пробег,16
НА702СК,2023-01-06,,408.0,Пробег,17
НВ626КМ,2023-01-06,,333.0,Пробег,18
РО294ВВ,2023-01-06,,134.0,Пробег,19
АО845НВ,2023-01-06,,323.0,Пробег,20
ХО448МЕ,2023-01-07,,1956.0,Топливо,3
ЕР103ХХ,2023-01-07,,2325.0,Логистика,12
ХВ792ХС,2023-01-07,,288.0,Пробег,1
СК833УХ,2023-01-07,,391.0,Пробег,2
ХО448МЕ,2023-01-07,,249.0,Пробег,3
АХ570СВ,2023-01-07,,160.0,Пробег,4
ТК821ВА,2023-01-07,,123.0,Пробег,5
УН266НН,2023-01-07,,66.0,Пробег,6
СХ350ЕР,2023-01-07,,196.0,Пробег,7
АН510МВ,2023-01-07,,290.0,Пробег,8
ЕМ242КХ,2023-01-07,,109.0,Пробег,9
СР193АВ,2023-01-07,,300.0,Пробег,10
МС981АУ,2023-01-07,,89.0,Пробег,11
ЕР103ХХ,2023-01-07,,99.0,Пробег,12
УС723КЕ,2023-01-07,,201.0,Пробег,13
НР119ВН,2023-01-07,,119.0,Пробег,14
ВС884ЕЕ,2023-01-07,,99.0,Пробег,15
СХ806КХ,2023-01-07,,218.0,Пробег,16
НА702СК,2023-01-07,,293.0,Пробег,17
НВ626КМ,2023-01-07,,286.0,Пробег,18
РО294ВВ,2023-01-07,,271.0,Пробег,19
АО845НВ,2023-01-07,,305.0,Пробег,20
ТК821ВА,2023-01-08,,62.0,Налоги,5
АО845НВ,2023-01-08,,822.0,Амортизация,20
РО294ВВ,2023-01-08,,1384.0,Топливо,19
ТК821ВА,2023-01-08,,62.0,Налоги,5
ХВ792ХС,2023-01-08,,218.0,Пробег,1
СК833УХ,2023-01-08,,325.0,Пробег,2
ХО448МЕ,2023-01-08,,315.0,Пробег,3
АХ570СВ,2023-01-08,,128.0,Пробег,4
ТК821ВА,2023-01-08,,157.0,Пробег,5
УН266НН,2023-01-08,,86.0,Пробег,6
СХ350ЕР,2023-01-08,,243.0,Пробег,7
АН510МВ,2023-01-08,,281.0,Пробег,8
ЕМ242КХ,2023-01-08,,91.0,Пробег,9
СР193АВ,2023-01-08,,291.0,Пробег,10
МС981АУ,2023-01-08,,112.0,Пробег,11
ЕР103ХХ,2023-01-08,,109.0,Пробег,12
УС723КЕ,2023-01-08,,175.0,Пробег,13
НР119ВН,2023-01-08,,107.0,Пробег,14
ВС884ЕЕ,2023-01-08,,0.0,Пробег,15
СХ806КХ,2023-01-08,,0.0,Пробег,16
НА702СК,2023-01-08,,241.0,Пробег,17
НВ626КМ,2023-01-08,,271.0,Пробег,18
РО294ВВ,2023-01-08,,301.0,Пробег,19
АО845НВ,2023-01-08,,337.0,Пробег,20
НА702СК,2023-01-09,,1382.0,Топливо,17
ХВ792ХС,2023-01-09,,248.0,Пробег,1
СК833УХ,2023-01-09,,275.0,Пробег,2
ХО448МЕ,2023-01-09,,293.0,Пробег,3
АХ570СВ,2023-01-09,,0.0,Пробег,4
ТК821ВА,2023-01-09,,115.0,Пробег,5
УН266НН,2023-01-09,,0.0,Пробег,6
СХ350ЕР,2023-01-09,,250.0,Пробег,7
АН510МВ,2023-01-09,,282.0,Пробег,8
ЕМ242КХ,2023-01-09,,50.0,Пробег,9
СР193АВ,2023-01-09,,291.0,Пробег,10
МС981АУ,2023-01-09,,103.0,Пробег,11
ЕР103ХХ,2023-01-09,,124.0,Пробег,12
УС723КЕ,2023-01-09,,176.0,Пробег,13
НР119ВН,2023-01-09,,128.0,Пробег,14
ВС884ЕЕ,2023-01-09,,120.0,Пробег,15
СХ806КХ,2023-01-09,,245.0,Пробег,16
НА702СК,2023-01-09,,331.0,Пробег,17
НВ626КМ,2023-01-09,,231.0,Пробег,18
РО294ВВ,2023-01-09,,157.0,Пробег,19
АО845НВ,2023-01-09,,273.0,Пробег,20
НА702СК,2023-01-10,,29646.0,Аренда,17
ВС884ЕЕ,2023-01-10,,62.0,Налоги,15
ХВ792ХС,2023-01-10,,212.0,Пробег,1
СК833УХ,2023-01-10,,296.0,Пробег,2
ХО448МЕ,2023-01-10,,282.0,Пробег,3
АХ570СВ,2023-01-10,,168.0,Пробег,4
ТК821ВА,2023-01-10,,164.0,Пробег,5
УН266НН,2023-01-10,,115.0,Пробег,6
СХ350ЕР,2023-01-10,,341.0,Пробег,7
АН510МВ,2023-01-10,,251.0,Пробег,8
ЕМ242КХ,2023-01-10,,72.0,Пробег,9
СР193АВ,2023-01-10,,296.0,Пробег,10
МС981АУ,2023-01-10,,136.0,Пробег,11
ЕР103ХХ,2023-01-10,,93.0,Пробег,12
УС723КЕ,2023-01-10,,163.0,Пробег,13
НР119ВН,2023-01-10,,0.0,Пробег,14
ВС884ЕЕ,2023-01-10,,136.0,Пробег,15
СХ806КХ,2023-01-10,,209.0,Пробег,16
НА702СК,2023-01-10,,303.0,Пробег,17
НВ626КМ,2023-01-10,,299.0,Пробег,18
РО294ВВ,2023-01-10,,233.0,Пробег,19
АО845НВ,2023-01-10,,272.0,Пробег,20
НВ626КМ,2023-01-11,,4086.0,Штрафы,18
ЕР103ХХ,2023-01-11,,17525.0,Аренда,12
ХВ792ХС,2023-01-11,,202.0,Пробег,1
СК833УХ,2023-01-11,,370.0,Пробег,2
ХО448МЕ,2023-01-11,,242.0,Пробег,3
АХ570СВ,2023-01-11,,153.0,Пробег,4
ТК821ВА,2023-01-11,,244.0,Пробег,5
УН266НН,2023-01-11,,115.0,Пробег,6
СХ350ЕР,2023-01-11,,247.0,Пробег,7
АН510МВ,2023-01-11,,263.0,Пробег,8
ЕМ242КХ,2023-01-11,,77.0,Пробег,9
СР193АВ,2023-01-11,,188.0,Пробег,10
МС981АУ,2023-01-11,,121.0,Пробег,11
ЕР103ХХ,2023-01-11,,80.0,Пробег,12
УС723КЕ,2023-01-11,,171.0,Пробег,13
НР119ВН,2023-01-11,,136.0,Пробег,14
ВС884ЕЕ,2023-01-11,,107.0,Пробег,15
СХ806КХ,2023-01-11,,192.0,Пробег,16
НА702СК,2023-01-11,,305.0,Пробег,17
НВ626КМ,2023-01-11,,362.0,Пробег,18
РО294ВВ,2023-01-11,,184.0,Пробег,19
АО845НВ,2023-01-11,,340.0,Пробег,20
НА702СК,2023-01-12,,822.0,Амортизация,17
УН266НН,2023-01-12,,1329.0,Логистика,6
ХВ792ХС,2023-01-12,,246.0,Пробег,1
СК833УХ,2023-01-12,,347.0,Пробег,2
ХО448МЕ,2023-01-12,,300.0,Пробег,3
АХ570СВ,2023-01-12,,102.0,Пробег,4
ТК821ВА,2023-01-12,,183.0,Пробег,5
УН266НН,2023-01-12,,90.0,Пробег,6
СХ350ЕР,2023-01-12,,246.0,Пробег,7
АН510МВ,2023-01-12,,262.0,Пробег,8
ЕМ242КХ,2023-01-12,,79.0,Пробег,9
СР193АВ,2023-01-12,,187.0,Пробег,10
МС981АУ,2023-01-12,,104.0,Пробег,11
ЕР103ХХ,2023-01-12,,105.0,Пробег,12
УС723КЕ,2023-01-12,,159.0,Пробег,13
НР119ВН,2023-01-12,,133.0,Пробег,14
ВС884ЕЕ,2023-01-12,,75.0,Пробег,15
СХ806КХ,2023-01-12,,260.0,Пробег,16
НА702СК,2023-01-12,,0.0,Пробег,17
НВ626КМ,2023-01-12,,293.0,Пробег,18
РО294ВВ,2023-01-12,,250.0,Пробег,19
АО845НВ,2023-01-12,,344.0,Пробег,20
СК833УХ,2023-01-13,,2148.0,Логистика,2
ХВ792ХС,2023-01-13,,256.0,Пробег,1
СК833УХ,2023-01-13,,0.0,Пробег,2
ХО448МЕ,2023-01-13,,275.0,Пробег,3
АХ570СВ,2023-01-13,,134.0,Пробег,4
ТК821ВА,2023-01-13,,146.0,Пробег,5
УН266НН,2023-01-13,,95.0,Пробег,6
СХ350ЕР,2023-01-13,,290.0,Пробег,7
АН510МВ,2023-01-13,,201.0,Пробег,8
ЕМ242КХ,2023-01-13,,113.0,Пробег,9
СР193АВ,2023-01-13,,223.0,Пробег,10
МС981АУ,2023-01-13,,116.0,Пробег,11
ЕР103ХХ,2023-01-13,,126.0,Пробег,12
УС723КЕ,2023-01-13,,126.0,Пробег,13
НР119ВН,2023-01-13,,78.0,Пробег,14
ВС884ЕЕ,2023-01-13,,102.0,Пробег,15
СХ806КХ,2023-01-13,,276.0,Пробег,16
НА702СК,2023-01-13,,298.0,Пробег,17
НВ626КМ,2023-01-13,,274.0,Пробег,18
РО294ВВ,2023-01-13,,339.0,Пробег,19
АО845НВ,2023-01-13,,359.0,Пробег,20
АН510МВ,2023-01-14,,18528.0,Аренда,8
ХВ792ХС,2023-01-14,,329.0,Пробег,1
СК833УХ,2023-01-14,,230.0,Пробег,2
ХО448МЕ,2023-01-14,,266.0,Пробег,3
АХ570СВ,2023-01-14,,123.0,Пробег,4
ТК821ВА,2023-01-14,,181.0,Пробег,5
УН266НН,2023-01-14,,99.0,Пробег,6
СХ350ЕР,2023-01-14,,247.0,Пробег,7
АН510МВ,2023-01-14,,292.0,Пробег,8
ЕМ242КХ,2023-01-14,,106.0,Пробег,9
СР193АВ,2023-01-14,,230.0,Пробег,10
МС981АУ,2023-01-14,,94.0,Пробег,11
ЕР103ХХ,2023-01-14,,94.0,Пробег,12
УС723КЕ,2023-01-14,,201.0,Пробег,13
НР119ВН,2023-01-14,,119.0,Пробег,14
ВС884ЕЕ,2023-01-14,,88.0,Пробег,15
СХ806КХ,2023-01-14,,204.0,Пробег,16
НА702СК,2023-01-14,,220.0,Пробег,17
НВ626КМ,2023-01-14,,262.0,Пробег,18
РО294ВВ,2023-01-14,,259.0,Пробег,19
АО845НВ,2023-01-14,,228.0,Пробег,20
НВ626КМ,2023-01-15,,822.0,Амортизация,18
ВС884ЕЕ,2023-01-15,,980.0,Админ_расходы,15
АН510МВ,2023-01-15,,62.0,Налоги,8
ХВ792ХС,2023-01-15,,231.0,Пробег,1
СК833УХ,2023-01-15,,251.0,Пробег,2
ХО448МЕ,2023-01-15,,245.0,Пробег,3
АХ570СВ,2023-01-15,,122.0,Пробег,4
ТК821ВА,2023-01-15,,122.0,Пробег,5
УН266НН,2023-01-15,,95.0,Пробег,6
СХ350ЕР,2023-01-15,,0.0,Пробег,7
АН510МВ,2023-01-15,,183.0,Пробег,8
ЕМ242КХ,2023-01-15,,0.0,Пробег,9
СР193АВ,2023-01-15,,226.0,Пробег,10
МС981АУ,2023-01-15,,111.0,Пробег,11
ЕР103ХХ,2023-01-15,,83.0,Пробег,12
УС723КЕ,2023-01-15,,190.0,Пробег,13
НР119ВН,2023-01-15,,77.0,Пробег,14
ВС884ЕЕ,2023-01-15,,139.0,Пробег,15
СХ806КХ,2023-01-15,,223.0,Пробег,16
НА702СК,2023-01-15,,313.0,Пробег,17
НВ626КМ,2023-01-15,,213.0,Пробег,18
РО294ВВ,2023-01-15,,241.0,Пробег,19
АО845НВ,2023-01-15,,293.0,Пробег,20
РО294ВВ,2023-01-16,,2637.0,Логистика,19
ЕМ242КХ,2023-01-16,,1318.0,Топливо,9
ХВ792ХС,2023-01-16,,247.0,Пробег,1
СК833УХ,2023-01-16,,260.0,Пробег,2
ХО448МЕ,2023-01-16,,262.0,Пробег,3
АХ570СВ,2023-01-16,,135.0,Пробег,4
ТК821ВА,2023-01-16,,127.0,Пробег,5
УН266НН,2023-01-16,,103.0,Пробег,6
СХ350ЕР,2023-01-16,,323.0,Пробег,7
АН510МВ,2023-01-16,,0.0,Пробег,8
ЕМ242КХ,2023-01-16,,103.0,Пробег,9
СР193АВ,2023-01-16,,261.0,Пробег,10
МС981АУ,2023-01-16,,134.0,Пробег,11
ЕР103ХХ,2023-01-16,,102.0,Пробег,12
УС723КЕ,2023-01-16,,126.0,Пробег,13
НР119ВН,2023-01-16,,163.0,Пробег,14
ВС884ЕЕ,2023-01-16,,113.0,Пробег,15
СХ806КХ,2023-01-16,,246.0,Пробег,16
НА702СК,2023-01-16,,282.0,Пробег,17
НВ626КМ,2023-01-16,,358.0,Пробег,18
РО294ВВ,2023-01-16,,137.0,Пробег,19
АО845НВ,2023-01-16,,316.0,Пробег,20
СХ806КХ,2023-01-17,,822.0,Амортизация,16
АО845НВ,2023-01-17,,940.0,Топливо,20
СР193АВ,2023-01-17,,1562.0,Логистика,10
ХВ792ХС,2023-01-17,,199.0,Пробег,1
СК833УХ,2023-01-17,,278.0,Пробег,2
ХО448МЕ,2023-01-17,,261.0,Пробег,3
АХ570СВ,2023-01-17,,168.0,Пробег,4
ТК821ВА,2023-01-17,,147.0,Пробег,5
УН266НН,2023-01-17,,99.0,Пробег,6
СХ350ЕР,2023-01-17,,276.0,Пробег,7
АН510МВ,2023-01-17,,278.0,Пробег,8
ЕМ242КХ,2023-01-17,,140.0,Пробег,9
СР193АВ,2023-01-17,,294.0,Пробег,10
МС981АУ,2023-01-17,,0.0,Пробег,11
ЕР103ХХ,2023-01-17,,67.0,Пробег,12
УС723КЕ,2023-01-17,,169.0,Пробег,13
НР119ВН,2023-01-17,,111.0,Пробег,14
ВС884ЕЕ,2023-01-17,,108.0,Пробег,15
СХ806КХ,2023-01-17,,318.0,Пробег,16
НА702СК,2023-01-17,,284.0,Пробег,17
НВ626КМ,2023-01-17,,324.0,Пробег,18
РО294ВВ,2023-01-17,,205.0,Пробег,19
АО845НВ,2023-01-17,,336.0,Пробег,20
ХВ792ХС,2023-01-18,,18826.0,Аренда,1
ХВ792ХС,2023-01-18,,274.0,Пробег,1
СК833УХ,2023-01-18,,270.0,Пробег,2
ХО448МЕ,2023-01-18,,228.0,Пробег,3
АХ570СВ,2023-01-18,,131.0,Пробег,4
ТК821ВА,2023-01-18,,152.0,Пробег,5
УН266НН,2023-01-18,,66.0,Пробег,6
СХ350ЕР,2023-01-18,,283.0,Пробег,7
АН510МВ,2023-01-18,,260.0,Пробег,8
ЕМ242КХ,2023-01-18,,123.0,Пробег,9
СР193АВ,2023-01-18,,238.0,Пробег,10
МС981АУ,2023-01-18,,86.0,Пробег,11
ЕР103ХХ,2023-01-18,,95.0,Пробег,12
УС723КЕ,2023-01-18,,193.0,Пробег,13
НР119ВН,2023-01-18,,85.0,Пробег,14
ВС884ЕЕ,2023-01-18,,112.0,Пробег,15
СХ806КХ,2023-01-18,,136.0,Пробег,16
НА702СК,2023-01-18,,280.0,Пробег,17
НВ626КМ,2023-01-18,,0.0,Пробег,18
РО294ВВ,2023-01-18,,244.0,Пробег,19
АО845НВ,2023-01-18,,326.0,Пробег,20
СХ350ЕР,2023-01-19,,62.0,Ремонт,7
АН510МВ,2023-01-19,,62.0,Налоги,8
ХВ792ХС,2023-01-19,,265.0,Пробег,1
СК833УХ,2023-01-19,,301.0,Пробег,2
ХО448МЕ,2023-01-19,,219.0,Пробег,3
АХ570СВ,2023-01-19,,156.0,Пробег,4
ТК821ВА,2023-01-19,,111.0,Пробег,5
УН266НН,2023-01-19,,0.0,Пробег,6
СХ350ЕР,2023-01-19,,175.0,Пробег,7
АН510МВ,2023-01-19,,238.0,Пробег,8
ЕМ242КХ,2023-01-19,,116.0,Пробег,9
СР193АВ,2023-01-19,,217.0,Пробег,10
МС981АУ,2023-01-19,,118.0,Пробег,11
ЕР103ХХ,2023-01-19,,123.0,Пробег,12
УС723КЕ,2023-01-19,,162.0,Пробег,13
НР119ВН,2023-01-19,,106.0,Пробег,14
ВС884ЕЕ,2023-01-19,,99.0,Пробег,15
СХ806КХ,2023-01-19,,267.0,Пробег,16
НА702СК,2023-01-19,,298.0,Пробег,17
НВ626КМ,2023-01-19,,338.0,Пробег,18
РО294ВВ,2023-01-19,,253.0,Пробег,19
АО845НВ,2023-01-19,,257.0,Пробег,20
ХО448МЕ,2023-01-20,,62.0,Налоги,3
ХВ792ХС,2023-01-20,,309.0,Пробег,1
СК833УХ,2023-01-20,,336.0,Пробег,2
ХО448МЕ,2023-01-20,,210.0,Пробег,3
АХ570СВ,2023-01-20,,151.0,Пробег,4
ТК821ВА,2023-01-20,,140.0,Пробег,5
УН266НН,2023-01-20,,95.0,Пробег,6
СХ350ЕР,2023-01-20,,329.0,Пробег,7
АН510МВ,2023-01-20,,265.0,Пробег,8
ЕМ242КХ,2023-01-20,,70.0,Пробег,9
СР193АВ,2023-01-20,,282.0,Пробег,10
МС981АУ,2023-01-20,,101.0,Пробег,11
ЕР103ХХ,2023-01-20,,117.0,Пробег,12
УС723КЕ,2023-01-20,,143.0,Пробег,13
НР119ВН,2023-01-20,,125.0,Пробег,14
ВС884ЕЕ,2023-01-20,,125.0,Пробег,15
СХ806КХ,2023-01-20,,277.0,Пробег,16
НА702СК,2023-01-20,,313.0,Пробег,17
НВ626КМ,2023-01-20,,312.0,Пробег,18
РО294ВВ,2023-01-20,,263.0,Пробег,19
АО845НВ,2023-01-20,,325.0,Пробег,20
ЕМ242КХ,2023-01-21,,822.0,Амортизация,9
ЕМ242КХ,2023-01-21,,911.0,Админ_расходы,9
ХВ792ХС,2023-01-21,,294.0,Пробег,1
СК833УХ,2023-01-21,,345.0,Пробег,2
ХО448МЕ,2023-01-21,,212.0,Пробег,3
АХ570СВ,2023-01-21,,126.0,Пробег,4
ТК821ВА,2023-01-21,,145.0,Пробег,5
УН266НН,2023-01-21,,99.0,Пробег,6
СХ350ЕР,2023-01-21,,223.0,Пробег,7
АН510МВ,2023-01-21,,266.0,Пробег,8
ЕМ242КХ,2023-01-21,,101.0,Пробег,9
СР193АВ,2023-01-21,,238.0,Пробег,10
МС981АУ,2023-01-21,,0.0,Пробег,11
ЕР103ХХ,2023-01-21,,97.0,Пробег,12
УС723КЕ,2023-01-21,,192.0,Пробег,13
НР119ВН,2023-01-21,,138.0,Пробег,14
ВС884ЕЕ,2023-01-21,,88.0,Пробег,15
СХ806КХ,2023-01-21,,221.0,Пробег,16
НА702СК,2023-01-21,,298.0,Пробег,17
НВ626КМ,2023-01-21,,259.0,Пробег,18
РО294ВВ,2023-01-21,,0.0,Пробег,19
АО845НВ,2023-01-21,,316.0,Пробег,20
СХ350ЕР,2023-01-22,,62.0,Налоги,7
АО845НВ,2023-01-22,,2280.0,Логистика,20
ХВ792ХС,2023-01-22,,264.0,Пробег,1
СК833УХ,2023-01-22,,283.0,Пробег,2
ХО448МЕ,2023-01-22,,242.0,Пробег,3
АХ570СВ,2023-01-22,,0.0,Пробег,4
ТК821ВА,2023-01-22,,196.0,Пробег,5
УН266НН,2023-01-22,,119.0,Пробег,6
СХ350ЕР,2023-01-22,,249.0,Пробег,7
АН510МВ,2023-01-22,,197.0,Пробег,8
ЕМ242КХ,2023-01-22,,105.0,Пробег,9
СР193АВ,2023-01-22,,254.0,Пробег,10
МС981АУ,2023-01-22,,86.0,Пробег,11
ЕР103ХХ,2023-01-22,,133.0,Пробег,12
УС723КЕ,2023-01-22,,157.0,Пробег,13
НР119ВН,2023-01-22,,152.0,Пробег,14
ВС884ЕЕ,2023-01-22,,119.0,Пробег,15
СХ806КХ,2023-01-22,,236.0,Пробег,16
НА702СК,2023-01-22,,0.0,Пробег,17
НВ626КМ,2023-01-22,,284.0,Пробег,18
РО294ВВ,2023-01-22,,280.0,Пробег,19
АО845НВ,2023-01-22,,315.0,Пробег,20
УН266НН,2023-01-23,,8.0,Ремонт,6
НР119ВН,2023-01-23,,62.0,Налоги,14
НВ626КМ,2023-01-23,,822.0,Амортизация,18
ЕР103ХХ,2023-01-23,,1100.0,Админ_расходы,12
ХВ792ХС,2023-01-23,,231.0,Пробег,1
СК833УХ,2023-01-23,,218.0,Пробег,2
ХО448МЕ,2023-01-23,,235.0,Пробег,3
АХ570СВ,2023-01-23,,139.0,Пробег,4
ТК821ВА,2023-01-23,,111.0,Пробег,5
УН266НН,2023-01-23,,83.0,Пробег,6
СХ350ЕР,2023-01-23,,223.0,Пробег,7
АН510МВ,2023-01-23,,306.0,Пробег,8
ЕМ242КХ,2023-01-23,,91.0,Пробег,9
СР193АВ,2023-01-23,,236.0,Пробег,10
МС981АУ,2023-01-23,,166.0,Пробег,11
ЕР103ХХ,2023-01-23,,138.0,Пробег,12
УС723КЕ,2023-01-23,,131.0,Пробег,13
НР119ВН,2023-01-23,,121.0,Пробег,14
ВС884ЕЕ,2023-01-23,,131.0,Пробег,15
СХ806КХ,2023-01-23,,263.0,Пробег,16
НА702СК,2023-01-23,,357.0,Пробег,17
НВ626КМ,2023-01-23,,274.0,Пробег,18
РО294ВВ,2023-01-23,,213.0,Пробег,19
АО845НВ,2023-01-23,,245.0,Пробег,20
УС723КЕ,2023-01-24,,1077.0,Топливо,13
НВ626КМ,2023-01-24,,62.0,Налоги,18
ХВ792ХС,2023-01-24,,258.0,Пробег,1
СК833УХ,2023-01-24,,247.0,Пробег,2
ХО448МЕ,2023-01-24,,225.0,Пробег,3
АХ570СВ,2023-01-24,,175.0,Пробег,4
ТК821ВА,2023-01-24,,108.0,Пробег,5
УН266НН,2023-01-24,,104.0,Пробег,6
СХ350ЕР,2023-01-24,,209.0,Пробег,7
