Дата,Автомобиль,Пробег_км,Топливо_руб,Зарплата_руб,Ремонт_руб,Аренда_руб,Амортизация_руб,Налоги_руб,Админ_расходы_руб,Штрафы_руб
2023-03-09,Car_5,238,1715,2596,111,2885,822,62,981,0
2023-03-09,Car_9,205,1474,2022,0,3260,822,62,829,0
2023-03-10,Car_1,147,1001,2925,0,3096,822,62,707,0
2023-03-10,Car_3,212,1443,2568,0,2365,822,62,1052,0
2023-03-11,Car_1,157,974,1488,0,3155,822,62,743,0
2023-03-11,Car_1,165,1027,3188,0,3570,822,62,743,0
2023-03-11,Car_8,209,1298,2606,0,2747,822,62,1154,0
2023-03-12,Car_6,226,1540,2450,54,2836,822,62,565,0
2023-03-12,Car_4,223,1522,2756,0,3563,822,62,655,0
2023-03-12,Car_9,279,1899,3344,0,2614,822,62,566,0
2023-03-13,Car_4,205,1545,1946,0,3737,822,62,993,5032
2023-03-13,Car_8,240,1808,2493,0,1547,822,62,722,0
2023-03-14,Car_6,258,1700,2249,14,3591,822,62,972,0
2023-03-14,Car_8,283,1863,2984,0,3105,822,62,512,0
2023-03-15,Car_5,234,1766,2411,0,3280,822,62,625,0
2023-03-16,Car_2,203,1020,2543,0,2657,822,62,773,8488
2023-03-16,Car_2,231,1160,2034,64,3435,822,62,786,0
2023-03-16,Car_10,131,657,2832,0,2648,822,62,761,0
2023-03-16,Car_7,134,674,1839,0,2967,822,62,1041,0
2023-03-17,Car_9,176,1250,3020,0,3329,822,62,763,0
2023-03-17,Car_6,222,1573,2691,0,2785,822,62,901,0
2023-03-17,Car_6,161,1141,2051,0,3119,822,62,735,0
2023-03-18,Car_2,228,1518,2500,47,2555,822,62,798,0
2023-03-18,Car_10,246,1637,1671,0,3841,822,62,714,0
2023-03-18,Car_9,203,1350,2843,0,3110,822,62,830,0
2023-03-19,Car_3,254,1631,2606,0,2965,822,62,683,0
2023-03-20,Car_10,249,1654,2334,0,3090,822,62,678,0
2023-03-20,Car_5,216,1438,2746,0,3134,822,62,1041,0
2023-03-20,Car_10,212,1408,2102,0,2544,822,62,788,0
2023-03-21,Car_3,186,1008,2631,0,2959,822,62,860,0
2023-03-22,Car_9,193,1251,2888,0,4098,822,62,1120,0
2023-03-22,Car_2,246,1589,2555,49,2951,822,62,732,0
2023-03-22,Car_6,222,1433,1802,0,2959,822,62,824,0
2023-03-22,Car_5,158,1021,2571,0,3433,822,62,816,0
2023-03-23,Car_3,84,573,2492,0,2937,822,62,747,0
2023-03-23,Car_4,207,1408,2154,0,2787,822,62,656,0
2023-03-24,Car_10,224,1676,2396,16,3589,822,62,542,0
2023-03-24,Car_5,275,2055,3208,0,2618,822,62,1168,0
2023-03-24,Car_5,221,1651,2768,0,3060,822,62,935,13986
2023-03-24,Car_8,189,1413,2560,0,2833,822,62,927,0
2023-03-25,Car_7,255,1603,3351,0,3930,822,62,887,0
2023-03-25,Car_6,149,940,3013,0,2722,822,62,912,0
2023-03-25,Car_3,229,1439,2032,0,2847,822,62,970,0
2023-03-25,Car_1,205,1288,2566,0,3245,822,62,723,0
2023-03-25,Car_10,171,1073,2502,81,4091,822,62,475,0
2023-03-26,Car_5,218,1333,1977,0,3242,822,62,838,0
2023-03-26,Car_3,203,1239,2328,0,2411,822,62,918,13436
2023-03-26,Car_6,227,1387,2512,0,2620,822,62,925,0
2023-03-26,Car_5,314,1919,2719,46,2345,822,62,684,0
2023-03-26,Car_2,171,1044,2920,0,3835,822,62,736,0
2023-03-27,Car_4,249,1567,3094,0,2380,822,62,871,0
2023-03-28,Car_6,270,1929,3047,0,3211,822,62,847,0
2023-03-28,Car_5,178,1273,2438,0,2486,822,62,625,0
2023-03-29,Car_9,257,1749,3898,89,2924,822,62,507,0
2023-03-29,Car_7,146,991,2540,0,2223,822,62,918,0
2023-03-30,Car_1,179,1124,2016,0,3434,822,62,946,0
2023-03-30,Car_10,173,1087,2066,0,3411,822,62,942,0
2023-03-30,Car_4,136,856,2178,0,4037,822,62,992,0
2023-03-30,Car_7,204,1280,1920,0,3500,822,62,798,0
2023-03-30,Car_8,186,1166,2504,0,2515,822,62,942,0
2023-03-31,Car_3,181,1248,2258,0,3648,822,62,790,0
2023-03-31,Car_4,188,1300,2230,41,2993,822,62,807,9166
2023-04-01,Car_10,184,1228,2943,16,2752,822,62,619,0
2023-04-01,Car_4,247,1643,2978,0,3286,822,62,604,0
2023-04-02,Car_3,191,1369,3084,0,2474,822,62,456,0
2023-04-02,Car_1,149,1071,1801,0,2136,822,62,827,7690
2023-04-02,Car_10,102,730,2569,0,2902,822,62,588,0
2023-04-03,Car_1,314,1938,2714,0,4633,822,62,978,0
2023-04-03,Car_7,255,1573,2331,0,3013,822,62,935,0
2023-04-03,Car_9,186,1149,2676,0,2492,822,62,956,0
2023-04-04,Car_7,120,768,2818,0,3302,822,62,756,0
2023-04-04,Car_1,211,1351,2577,0,3282,822,62,1064,0
2023-04-04,Car_1,97,623,2668,0,3738,822,62,739,0
2023-04-05,Car_9,190,1210,2924,0,2612,822,62,923,0
2023-04-06,Car_7,236,1348,1962,0,2958,822,62,936,0
2023-04-07,Car_8,218,1477,3000,0,2726,822,62,497,0
2023-04-07,Car_1,265,1795,2231,0,2957,822,62,753,0
2023-04-07,Car_9,159,1075,3055,11,3680,822,62,1029,0
2023-04-08,Car_7,197,1328,2114,0,2377,822,62,609,0
2023-04-08,Car_10,235,1586,1965,28,3030,822,62,848,0
2023-04-09,Car_4,122,808,2467,0,2578,822,62,510,0
2023-04-09,Car_2,262,1731,2467,0,2397,822,62,837,0
2023-04-09,Car_6,195,1285,2138,24,4002,822,62,1091,0
2023-04-10,Car_10,312,2017,3362,0,2767,822,62,604,0
2023-04-11,Car_6,245,1408,2748,0,3712,822,62,767,11275
2023-04-12,Car_9,244,1547,2726,0,3020,822,62,596,0
2023-04-12,Car_6,172,1091,1858,0,2980,822,62,712,0
2023-04-12,Car_9,228,1449,2735,0,2276,822,62,574,0
2023-04-13,Car_5,233,1492,2134,10,3340,822,62,634,0
2023-04-13,Car_8,167,1066,1812,0,2096,822,62,1055,0
2023-04-14,Car_7,236,1443,1940,0,3281,822,62,841,0
2023-04-14,Car_10,132,805,2343,0,3098,822,62,1094,0
2023-04-15,Car_6,186,1208,2332,0,3597,822,62,1073,0
2023-04-15,Car_10,257,1672,2715,0,2534,822,62,837,0
2023-04-17,Car_2,188,1457,2224,0,3488,822,62,801,8010
2023-04-17,Car_6,265,2048,2517,21,2539,822,62,599,0
2023-04-17,Car_1,243,1879,2222,0,2523,822,62,866,0
2023-04-17,Car_5,309,2392,2303,0,2041,822,62,914,0
2023-04-18,Car_7,210,1407,2408,0,3218,822,62,630,0
2023-04-18,Car_3,192,1289,2370,0,3577,822,62,961,0
2023-04-18,Car_3,205,1377,3138,0,3032,822,62,672,0
2023-04-19,Car_4,195,1319,2545,0,2901,822,62,1149,12187
2023-04-19,Car_6,113,764,2948,0,3331,822,62,1167,0
2023-04-20,Car_2,338,2214,2205,0,3271,822,62,660,8910
2023-04-20,Car_8,267,1753,3248,0,4113,822,62,878,0
2023-04-20,Car_10,216,1418,2720,0,2392,822,62,1244,0
2023-04-20,Car_1,254,1667,2093,0,3047,822,62,806,0
2023-04-21,Car_10,210,1144,2482,0,3141,822,62,647,0
2023-04-21,Car_5,253,1377,2920,0,2573,822,62,964,0
2023-04-21,Car_9,203,1107,3033,10,3222,822,62,809,0
2023-04-22,Car_9,212,1397,2483,16,3572,822,62,812,0
2023-04-22,Car_8,203,1336,2577,0,3530,822,62,688,0
2023-04-23,Car_2,277,1837,1749,0,2801,822,62,924,0
2023-04-24,Car_3,225,1814,1919,0,2907,822,62,521,0
2023-04-24,Car_10,246,1987,2344,0,2948,822,62,1010,0
2023-04-25,Car_2,231,1495,2782,50,3821,822,62,958,0
2023-04-25,Car_7,273,1773,3131,10,3444,822,62,580,0
2023-04-26,Car_6,235,1594,2814,0,3162,822,62,862,0
2023-04-26,Car_5,297,2012,2178,0,3181,822,62,1101,0
2023-04-26,Car_8,163,1104,2506,0,2652,822,62,980,0
2023-04-27,Car_1,165,1088,2467,0,3173,822,62,909,0
2023-04-27,Car_6,327,2150,3019,0,3322,822,62,823,0
2023-04-28,Car_5,167,984,2918,0,3408,822,62,907,0
2023-04-29,Car_4,235,1714,2243,0,3037,822,62,891,0
2023-04-30,Car_8,235,1659,2768,39,2255,822,62,742,0
2023-04-30,Car_8,184,1300,3480,0,3191,822,62,565,0
2023-04-30,Car_1,203,1432,2596,3,3610,822,62,897,0
2023-05-01,Car_4,272,1921,3154,0,4101,822,62,1151,0
2023-05-02,Car_3,307,1856,2781,0,2817,822,62,832,0
2023-05-03,Car_2,237,1761,2750,0,1994,822,62,977,0
2023-05-03,Car_9,251,1868,2581,0,3071,822,62,930,0
2023-05-03,Car_7,274,2039,2662,0,3620,822,62,596,0
2023-05-04,Car_4,152,873,2428,20,2869,822,62,546,0
2023-05-04,Car_8,169,976,1838,0,4634,822,62,908,0
2023-05-04,Car_4,227,1307,2583,31,2915,822,62,948,0
2023-05-04,Car_7,235,1354,2433,0,3477,822,62,842,0
2023-05-06,Car_5,231,1829,2847,8,3167,822,62,1122,0
2023-05-06,Car_9,278,2203,2637,17,3007,822,62,862,14753
2023-05-06,Car_3,290,2299,2229,0,3200,822,62,792,0
2023-05-08,Car_8,134,838,2094,0,2832,822,62,648,0
2023-05-08,Car_10,181,1130,2348,0,2406,822,62,866,7105
2023-05-09,Car_6,218,1449,2356,0,2635,822,62,860,0
2023-05-09,Car_6,184,1225,2436,0,3584,822,62,1007,6742
2023-05-09,Car_10,160,1065,2952,0,1881,822,62,936,0
2023-05-09,Car_10,239,1591,2388,0,2083,822,62,969,0
2023-05-10,Car_5,304,1918,2330,0,3030,822,62,1007,0
2023-05-10,Car_3,204,1286,2870,0,3192,822,62,806,0
2023-05-10,Car_1,221,1395,2395,0,3756,822,62,1001,0
2023-05-11,Car_7,224,1271,2413,0,3156,822,62,846,0
2023-05-12,Car_3,189,1257,2058,0,2793,822,62,844,0
2023-05-13,Car_3,282,1680,2554,0,2620,822,62,466,0
2023-05-13,Car_4,178,1061,3042,55,2615,822,62,938,0
2023-05-13,Car_6,239,1426,2557,0,2217,822,62,915,0
2023-05-14,Car_10,241,1662,3049,54,3767,822,62,921,0
2023-05-14,Car_1,238,1638,3309,0,3155,822,62,744,0
2023-05-14,Car_5,227,1559,3114,0,2860,822,62,764,0
2023-05-15,Car_5,116,701,2482,0,3950,822,62,715,0
2023-05-15,Car_9,199,1202,2852,0,2022,822,62,1111,0
2023-05-15,Car_10,292,1763,2774,65,2754,822,62,1170,0
2023-05-16,Car_7,210,1584,2166,0,3392,822,62,772,0
2023-05-16,Car_1,185,1394,2454,90,2452,822,62,843,0
2023-05-17,Car_1,166,1015,2564,0,3348,822,62,1307,0
2023-05-18,Car_6,172,1105,2850,0,2567,822,62,1095,12160
2023-05-18,Car_3,166,1064,2899,15,2414,822,62,707,0
2023-05-18,Car_8,217,1389,2819,0,3427,822,62,603,0
2023-05-19,Car_8,188,1336,2606,0,2048,822,62,945,0
2023-05-20,Car_8,264,1548,2754,0,3154,822,62,577,0
2023-05-20,Car_10,257,1508,2083,0,3295,822,62,587,0
2023-05-21,Car_1,305,2051,2591,0,2846,822,62,851,0
2023-05-22,Car_5,233,1718,2812,0,3944,822,62,475,0
2023-05-23,Car_9,267,1504,2717,0,3123,822,62,840,0
2023-05-23,Car_3,317,1785,2687,0,3483,822,62,901,0
2023-05-24,Car_5,185,1241,2576,0,2941,822,62,853,0
2023-05-25,Car_8,225,1521,2603,0,2960,822,62,552,0
2023-05-25,Car_6,290,1959,2509,66,2886,822,62,706,0
2023-05-25,Car_6,249,1685,2933,0,2385,822,62,706,0
2023-05-26,Car_1,197,1395,2324,24,3283,822,62,1008,0
2023-05-26,Car_6,157,1112,2214,20,3205,822,62,979,0
2023-05-26,Car_8,231,1635,2041,0,3298,822,62,738,9756
2023-05-26,Car_2,225,1588,2607,0,3297,822,62,619,9177
2023-05-27,Car_3,211,1236,2661,0,2746,822,62,886,0
2023-05-27,Car_1,302,1767,2139,0,2886,822,62,658,0
2023-05-27,Car_4,199,1166,2540,0,3096,822,62,497,0
2023-05-27,Car_2,146,856,2590,0,3233,822,62,939,0
2023-05-27,Car_9,197,1153,2034,0,2934,822,62,377,12810
2023-05-28,Car_7,230,1334,2793,0,3710,822,62,757,0
2023-05-28,Car_10,219,1273,1773,0,3692,822,62,952,0
2023-05-28,Car_3,249,1446,2211,0,3493,822,62,667,0
2023-05-29,Car_6,210,1454,3094,15,3726,822,62,752,0
2023-05-29,Car_9,305,2106,1983,0,3616,822,62,914,0
2023-05-29,Car_4,110,759,3098,0,3713,822,62,705,0
2023-05-29,Car_10,212,1469,2047,1,2682,822,62,869,0
2023-05-29,Car_3,254,1756,2138,0,2807,822,62,606,0
2023-05-30,Car_2,215,1460,2356,1,3447,822,62,784,0
2023-05-31,Car_10,168,1131,2452,0,2653,822,62,803,0
2023-05-31,Car_10,270,1823,2839,0,2546,822,62,375,0
2023-06-01,Car_8,213,1453,2047,0,2656,822,62,628,0
2023-06-01,Car_8,123,840,2771,0,2772,822,62,645,0
2023-06-01,Car_4,77,526,2005,0,2893,822,62,822,0
2023-06-02,Car_10,189,1172,2166,0,2593,822,62,1055,0
2023-06-02,Car_2,308,1905,2122,2,2641,822,62,922,0
2023-06-03,Car_6,249,1679,2312,0,2918,822,62,514,0
2023-06-03,Car_6,237,1597,2551,28,3272,822,62,725,0
2023-06-04,Car_5,235,1595,2517,7,1567,822,62,1122,0
2023-06-04,Car_3,139,941,3390,0,2024,822,62,802,0
2023-06-06,Car_7,233,1796,2119,0,3305,822,62,665,0
2023-06-07,Car_10,247,1697,2773,0,3759,822,62,789,7878
2023-06-07,Car_1,292,2011,2929,0,3443,822,62,865,6310
2023-06-09,Car_9,144,1008,2673,1,3957,822,62,878,0
2023-06-09,Car_7,170,1191,2903,0,4069,822,62,549,0
2023-06-09,Car_2,305,2133,1833,0,4089,822,62,1012,5899
2023-06-09,Car_10,170,1192,3261,0,2942,822,62,849,0
2023-06-09,Car_4,144,1009,1884,0,3535,822,62,901,0
2023-06-10,Car_5,283,1704,2966,0,3824,822,62,551,12288
2023-06-10,Car_7,234,1408,1695,0,2962,822,62,798,0
2023-06-11,Car_4,157,1109,2039,0,3560,822,62,836,0
2023-06-11,Car_7,291,2056,2325,0,3202,822,62,318,0
2023-06-11,Car_7,221,1562,1715,2,3254,822,62,721,0
2023-06-11,Car_5,183,1296,2183,0,2246,822,62,720,0
2023-06-11,Car_3,266,1883,2370,34,3706,822,62,1066,0
2023-06-12,Car_3,262,1908,3334,0,3826,822,62,597,7845
2023-06-12,Car_6,187,1367,2107,0,2715,822,62,588,0
2023-06-12,Car_9,234,1708,2942,0,2621,822,62,895,0
2023-06-12,Car_6,136,996,2114,0,3178,822,62,885,0
2023-06-13,Car_3,242,1476,2292,0,3747,822,62,1233,0
2023-06-13,Car_9,275,1679,3191,0,3471,822,62,844,0
2023-06-14,Car_9,256,1837,2827,0,3182,822,62,379,0
2023-06-14,Car_7,263,1889,2178,0,2181,822,62,787,0
2023-06-14,Car_3,121,871,2415,0,2733,822,62,992,0
2023-06-14,Car_10,300,2155,1590,0,3848,822,62,561,0
2023-06-14,Car_7,245,1756,3080,0,3153,822,62,1161,0
2023-06-14,Car_6,205,1468,2543,0,3461,822,62,716,0
2023-06-14,Car_6,229,1641,1762,0,2736,822,62,984,0
2023-06-15,Car_3,238,1632,2392,0,2129,822,62,742,0
2023-06-15,Car_3,214,1463,2981,0,2495,822,62,863,0
2023-06-16,Car_6,338,2401,2578,0,2878,822,62,780,0
2023-06-16,Car_1,176,1247,1503,0,2253,822,62,604,0
2023-06-17,Car_5,245,1896,2644,0,2834,822,62,505,0
2023-06-17,Car_5,325,2512,2406,0,2658,822,62,961,10995
2023-06-18,Car_5,212,1368,2194,0,2385,822,62,801,0
2023-06-18,Car_2,247,1596,2709,0,3652,822,62,780,0
2023-06-18,Car_7,158,1020,3060,0,3346,822,62,911,0
2023-06-19,Car_10,117,716,2156,0,3467,822,62,963,6430
2023-06-19,Car_3,219,1346,2936,0,2797,822,62,725,0
2023-06-20,Car_4,214,1298,2294,26,3080,822,62,736,0
2023-06-20,Car_7,234,1421,2305,0,2398,822,62,964,14460
2023-06-20,Car_9,258,1564,2564,0,3469,822,62,727,0
2023-06-21,Car_5,275,1678,2055,0,2003,822,62,1154,0
2023-06-22,Car_9,208,1361,3112,0,3053,822,62,933,0
2023-06-23,Car_7,156,1063,2705,5,2795,822,62,1187,0
2023-06-23,Car_2,282,1917,2896,0,2744,822,62,885,0
2023-06-23,Car_7,251,1709,1889,0,2907,822,62,460,0
2023-06-24,Car_7,218,1472,2875,0,3106,822,62,616,0
2023-06-24,Car_1,248,1677,2400,0,3330,822,62,586,11921
2023-06-24,Car_6,251,1700,2114,0,1803,822,62,1126,0
2023-06-25,Car_8,295,2091,2957,0,2485,822,62,453,0
2023-06-25,Car_7,263,1869,2285,0,2458,822,62,943,0
2023-06-25,Car_7,243,1723,3051,0,3832,822,62,863,0
2023-06-26,Car_10,171,1133,2129,0,3106,822,62,914,0
2023-06-26,Car_10,226,1495,2526,0,2969,822,62,728,0
2023-06-26,Car_8,237,1564,2144,1,2554,822,62,734,0
